epoch,train_reward
0,0.0032148375990072964
1,4.9579394108150155e-05
2,5.270701636618469e-05
3,5.011642781028058e-05
4,0.0028669703025752825
5,0.09191261732858039
6,0.05843264167066081
7,0.001972826611818164
8,5.323020079231355e-05
9,5.229478112596553e-05
10,4.8575819746474736e-05
11,4.884953574219253e-05
12,9.666357640526257e-05
13,4.923618689645082e-05
14,5.186983951716684e-05
15,6.949855895072688e-05
16,4.576318002364133e-05
17,4.981136349670123e-05
18,5.2013785534654744e-05
19,5.0004713630187324e-05
