,dropout,dropout_rate,train_acc,train_reward
0,None,0.0,0.0952310809597417,0.7843078790957947
1,random,0.2,0.0946303748184872,0.7837530988635439
2,random,0.4,0.0946275829281275,0.7932444854349935
3,random,0.6,0.0928870051947642,0.7860737199467575
4,random,0.8,0.0932221777785861,0.7843448244762742
5,quantile,0.2,0.1042376917202119,0.7708375753644607
6,quantile,0.4,0.1250966765916193,0.7609916393604342
7,quantile,0.6,0.19676516017398,0.7128017268130006
8,quantile,0.8,0.2932687461420859,0.6185563471247719
