epoch,train_acc
0,0.005312499841675162
1,1.0416667209938169e-05
2,0.0
3,0.0
4,5.2083336049690846e-06
5,0.0
6,0.0
7,0.0
8,0.0
9,5.2083336049690846e-06
10,5.2083336049690846e-06
11,0.0
12,0.0
13,0.0
14,5.2083336049690846e-06
15,5.2083336049690846e-06
16,0.0
17,5.2083336049690846e-06
18,0.0
19,0.0
