epoch,train_loss
0,6.928814573672855
1,5.539609474986124
2,5.6523190421373855
3,5.740416304412979
4,6.290508058573633
5,7.001790698868277
6,10.719651273547802
7,17.427467217894414
8,25.792396536857023
9,32.06817176203022
10,34.72056188711671
11,
12,
13,
14,
15,
16,
17,
18,
19,
