,dropout,dropout_rate,train_acc,train_reward
0,None,0.0,0.1586180447862496,0.7139398271481393
1,random,0.2,0.1576650354767493,0.724419786158034
2,random,0.4,0.1505340470056752,0.714582696815874
3,random,0.6,0.1539776070768642,0.7257313417737596
4,random,0.8,0.1527231151068889,0.737234476408355
5,quantile,0.2,0.2913349384176668,0.7568948359110811
6,quantile,0.4,0.3005098356264128,0.6905797867118277
7,quantile,0.6,0.3023315597108767,0.6998429055101523
8,quantile,0.8,0.2951477250574267,0.705161086382996
