,dropout,dropout_rate,train_acc,train_reward
0,None,0.0,0.1522418040154914,0.4916982329069237
1,random,0.2,0.1488051302754573,0.4809582395012266
2,random,0.4,0.1503420030809137,0.4797349927517084
3,random,0.6,0.1482502272147195,0.4866607534900197
4,random,0.8,0.1475600357910964,0.4703205487050726
5,quantile,0.2,0.2173259588925763,0.5951633709979708
6,quantile,0.4,0.299071261240786,0.6223822395056117
7,quantile,0.6,0.2991807067932579,0.6200363170124461
8,quantile,0.8,0.296424059861191,0.6416138423139937
