epoch,train_loss
0,4.58098041775203
1,3.4662489867446444
2,3.679676380487952
3,4.070387385859348
4,4.382960675966622
5,5.480881863301343
6,5.90341300185364
7,6.5814516001408645
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
