,dropout,dropout_rate,train_acc,train_reward
0,None,0.0,0.1573330103289583,0.4577012511950684
1,random,0.2,0.1562800239067628,0.4619323805258865
2,random,0.4,0.1573329337667783,0.4681898033043618
3,random,0.6,0.1580949638381908,0.4663091256094032
4,random,0.8,0.1569282268721715,0.4796227376937331
5,quantile,0.2,0.2094330850626949,0.4924821535880049
6,quantile,0.4,0.2931399137150328,0.4447186348079698
7,quantile,0.6,0.3107658723173482,0.4357754897188257
8,quantile,0.8,0.3024476179617725,0.4632771180401212
