,dropout,dropout_rate,train_acc,train_reward
0,None,0.0,0.1556111335752342,0.3501206914383153
1,random,0.2,0.1557167581153696,0.3438027366811846
2,random,0.4,0.1540642507422897,0.3211314370803426
3,random,0.6,0.1544393192771025,0.336141308349391
4,random,0.8,0.1523572428766272,0.3267426208481109
5,quantile,0.2,0.1963188507827065,0.4003619154628813
6,quantile,0.4,0.3008290997926704,0.4254244596067101
7,quantile,0.6,0.3116246852920168,0.4334289483416629
8,quantile,0.8,0.2956489366205008,0.4664960604591669
